Type,Diameter,Height
F,0.195,0.07
F,0.225,0.075
F,0.27,0.09
F,0.275,0.085
F,0.21,0.075
F,0.22,0.07
F,0.255,0.085
F,0.25,0.09
F,0.3,0.1
F,0.335,0.11
F,0.35,0.115
F,0.35,0.125
F,0.36,0.11
F,0.36,0.12
F,0.4,0.125
F,0.375,0.11
F,0.42,0.17
F,0.45,0.125
F,0.475,0.16
F,0.475,0.18
F,0.23,0.08
F,0.225,0.07
F,0.26,0.09
F,0.265,0.09
F,0.295,0.1
F,0.27,0.135
F,0.29,0.08
F,0.295,0.11
F,0.32,0.115
F,0.305,0.105
F,0.29,0.125
F,0.305,0.16
F,0.35,0.1
F,0.34,0.12
F,0.325,0.11
F,0.325,0.115
F,0.35,0.105
F,0.35,0.12
F,0.375,0.12
F,0.375,0.12
F,0.355,0.115
F,0.365,0.115
F,0.38,0.14
F,0.38,0.135
F,0.37,0.115
F,0.365,0.15
F,0.37,0.105
F,0.38,0.12
F,0.37,0.12
F,0.4,0.125
F,0.39,0.125
F,0.375,0.11
F,0.46,0.15
F,0.44,0.125
F,0.41,0.115
F,0.395,0.145
F,0.425,0.14
F,0.425,0.14
F,0.46,0.145
F,0.46,0.15
F,0.435,0.15
F,0.45,0.15
F,0.485,0.18
F,0.525,0.18
F,0.265,0.09
F,0.275,0.1
F,0.275,0.08
F,0.305,0.095
F,0.32,0.11
F,0.325,0.12
F,0.3,0.115
F,0.305,0.13
F,0.33,0.115
F,0.325,0.12
F,0.34,0.11
F,0.34,0.105
F,0.33,0.115
F,0.34,0.135
F,0.355,0.105
F,0.365,0.115
F,0.365,0.115
F,0.425,0.155
F,0.365,0.125
F,0.36,0.115
F,0.35,0.115
F,0.35,0.135
F,0.35,0.11
F,0.365,0.12
F,0.355,0.18
F,0.375,0.12
F,0.36,0.1
F,0.35,0.115
F,0.365,0.135
F,0.38,0.12
F,0.355,0.16
F,0.4,0.14
F,0.38,0.14
F,0.39,0.115
F,0.38,0.13
F,0.39,0.12
F,0.475,0.16
F,0.385,0.135
F,0.43,0.14
F,0.4,0.125
F,0.405,0.115
F,0.375,0.135
F,0.415,0.14
F,0.41,0.135
F,0.425,0.13
F,0.425,0.15
F,0.405,0.15
F,0.42,0.14
F,0.4,0.135
F,0.425,0.135
F,0.42,0.13
F,0.46,0.145
F,0.445,0.125
F,0.44,0.15
F,0.43,0.125
F,0.415,0.135
F,0.43,0.15
F,0.43,0.14
F,0.425,0.125
F,0.44,0.135
F,0.43,0.15
F,0.445,0.175
F,0.44,0.145
F,0.42,0.11
F,0.44,0.155
F,0.43,0.15
F,0.4,0.13
F,0.45,0.145
F,0.455,0.15
F,0.445,0.145
F,0.45,0.135
F,0.435,0.14
F,0.425,0.13
F,0.42,0.16
F,0.465,0.195
F,0.435,0.15
F,0.48,0.15
F,0.425,0.15
F,0.46,0.165
F,0.46,0.18
F,0.45,0.145
F,0.445,0.15
F,0.435,0.15
F,0.445,0.145
F,0.445,0.135
F,0.48,0.18
F,0.46,0.135
F,0.45,0.16
F,0.435,0.14
F,0.455,0.13
F,0.455,0.145
F,0.46,0.145
F,0.46,0.16
F,0.48,0.16
F,0.435,0.15
F,0.465,0.15
F,0.465,0.15
F,0.46,0.155
F,0.5,0.155
F,0.46,0.145
F,0.46,0.15
F,0.48,0.14
F,0.495,0.185
F,0.46,0.155
F,0.43,0.14
F,0.47,0.16
F,0.48,0.16
F,0.48,0.16
F,0.435,0.155
F,0.465,0.14
F,0.49,0.175
F,0.5,0.18
F,0.475,0.15
F,0.5,0.19
F,0.51,0.165
F,0.475,0.14
F,0.5,0.15
F,0.505,0.165
F,0.49,0.16
F,0.53,0.165
F,0.455,0.17
F,0.26,0.08
F,0.255,0.1
F,0.29,0.115
F,0.285,0.105
F,0.3,0.09
F,0.325,0.11
F,0.305,0.095
F,0.325,0.115
F,0.35,0.09
F,0.395,0.105
F,0.335,0.11
F,0.35,0.125
F,0.35,0.125
F,0.34,0.14
F,0.325,0.125
F,0.33,0.105
F,0.335,0.105
F,0.345,0.12
F,0.36,0.105
F,0.325,0.135
F,0.355,0.12
F,0.37,0.105
F,0.355,0.13
F,0.35,0.115
F,0.365,0.105
F,0.365,0.12
F,0.36,0.125
F,0.365,0.12
F,0.39,0.1
F,0.375,0.15
F,0.38,0.155
F,0.4,0.115
F,0.385,0.16
F,0.41,0.125
F,0.37,0.135
F,0.395,0.15
F,0.39,0.16
F,0.39,0.13
F,0.38,0.135
F,0.4,0.165
F,0.39,0.135
F,0.37,0.21
F,0.39,0.13
F,0.42,0.135
F,0.395,0.135
F,0.4,0.115
F,0.4,0.125
F,0.425,0.16
F,0.42,0.16
F,0.43,0.135
F,0.4,0.13
F,0.42,0.135
F,0.44,0.135
F,0.43,0.15
F,0.405,0.13
F,0.395,0.115
F,0.41,0.145
F,0.41,0.13
F,0.425,0.16
F,0.42,0.13
F,0.42,0.14
F,0.415,0.15
F,0.445,0.15
F,0.41,0.14
F,0.385,0.15
F,0.43,0.16
F,0.43,0.14
F,0.4,0.14
F,0.41,0.115
F,0.415,0.135
F,0.43,0.14
F,0.445,0.155
F,0.43,0.14
